./specifications/KeyValueStore/KeyValueStore.tla	ok	KeyValueStore	16 units
./specifications/KeyValueStore/KeyValueStore_proof.tla	ok	KeyValueStore_proof	2 units
./specifications/KeyValueStore/MCKVS.tla	ok	MCKVS	1 units
./specifications/KeyValueStore/MCKVsnap.tla	ok	MCKVsnap	2 units
./specifications/KeyValueStore/Util.tla	ok	Util	13 units
./specifications/KnuthYao/KnuthYao.tla	ok	KnuthYao	9 units
./specifications/KnuthYao/Prob.tla	ok	Prob	13 units
./specifications/KnuthYao/SimKnuthYao.tla	ok	SimKnuthYao	10 units
./specifications/LearnProofs/AddTwo.tla	ok	AddTwo	10 units
./specifications/LearnProofs/FindHighest.tla	ok	FindHighest	17 units
./specifications/LearnProofs/MCFindHighest.tla	ok	MCFindHighest	6 units
./specifications/LeastCircularSubstring/LeastCircularSubstring.tla	ok	LeastCircularSubstring	26 units
./specifications/LeastCircularSubstring/MCLeastCircularSubstring.tla	ok	MCLeastCircularSubstring	3 units
./specifications/LeastCircularSubstring/ZSequences.tla	ok	ZSequences	13 units
./specifications/LevelChecking/LevelSpec.tla	ok	LevelSpec	54 units
./specifications/LoopInvariance/BinarySearch.tla	ok	BinarySearch	16 units
./specifications/LoopInvariance/MCBinarySearch.tla	ok	MCBinarySearch	3 units
./specifications/LoopInvariance/MCQuicksort.tla	ok	MCQuicksort	3 units
./specifications/LoopInvariance/Quicksort.tla	ok	Quicksort	32 units
./specifications/LoopInvariance/SumSequence.tla	ok	SumSequence	24 units
./specifications/Majority/APMajority.tla	ok	APMajority	4 units
./specifications/Majority/MCMajority.tla	ok	MCMajority	6 units
./specifications/Majority/Majority.tla	ok	Majority	13 units
./specifications/Majority/MajorityProof.tla	ok	MajorityProof	9 units
./specifications/MisraReachability/APParReach.tla	ok	APParReach	7 units
./specifications/MisraReachability/APReachable.tla	ok	APReachable	6 units
./specifications/MisraReachability/MCParReach.tla	ok	MCParReach	2 units
./specifications/MisraReachability/MCReachabilityTest.tla	ok	MCReachabilityTest	4 units
./specifications/MisraReachability/MCReachable.tla	ok	MCReachable	2 units
./specifications/MisraReachability/ParReach.tla	ok	ParReach	24 units
./specifications/MisraReachability/ParReachProofs.tla	ok	ParReachProofs	2 units
./specifications/MisraReachability/Reachability.tla	ok	Reachability	5 units
./specifications/MisraReachability/ReachabilityProofs.tla	ok	ReachabilityProofs	4 units
./specifications/MisraReachability/ReachabilityTest.tla	ok	ReachabilityTest	6 units
./specifications/MisraReachability/Reachable.tla	ok	Reachable	18 units
./specifications/MisraReachability/ReachableProofs.tla	ok	ReachableProofs	4 units
./specifications/MissionariesAndCannibals/APMissionariesAndCannibals.tla	ok	APMissionariesAndCannibals	5 units
./specifications/MissionariesAndCannibals/MissionariesAndCannibals.tla	ok	MissionariesAndCannibals	9 units
./specifications/MissionariesAndCannibals/MissionariesAndCannibals_proof.tla	ok	MissionariesAndCannibals_proof	3 units
./specifications/Moving_Cat_Puzzle/APCat.tla	ok	APCat	3 units
./specifications/Moving_Cat_Puzzle/Cat.tla	ok	Cat	14 units
./specifications/MultiCarElevator/Elevator.tla	ok	Elevator	28 units
./specifications/MultiCarElevator/Elevator_proof.tla	ok	Elevator_proof	24 units
./specifications/MultiPaxos-SMR/MultiPaxos.tla	ok	MultiPaxos	51 units
./specifications/MultiPaxos-SMR/MultiPaxos_MC.tla	ok	MultiPaxos_MC	14 units
./specifications/N-Queens/Queens.tla	ok	Queens	14 units
